subject,session,trial,task,cuecol,cueloc,validity,targloc,targtilt,delay,resp,time,corr
9,2,1,1,1,7,0,8,2,1.00969779523476,2,0.699569983396941,1
9,2,2,1,1,7,1,7,2,1.07967685035004,2,0.659212057231343,1
9,2,3,1,1,1,1,1,2,1.1396588975917,2,0.781692520027718,1
9,2,4,1,2,4,1,4,1,1.02969181098198,1,0.666449895496044,1
9,2,5,1,2,1,1,1,1,1.28961401569588,1,0.880633116266836,1
9,2,6,1,1,5,1,5,2,1.16964992121254,2,0.819243064725015,1
9,2,7,1,2,1,1,1,2,1.32960204719032,2,0.741411285802315,1
9,2,8,1,2,6,1,6,2,1.17964692908615,2,0.556211919523776,1
9,2,9,1,1,8,1,8,1,1.33959905506393,1,0.662728197745309,1
9,2,10,1,2,1,1,1,2,1.2196349605806,2,0.795201136752439,1
9,2,11,1,1,3,1,3,2,1.0496858267292,2,0.601674849516712,1
9,2,12,1,2,5,1,5,1,1.37958708655838,1,0.532089593303681,1
9,2,13,1,2,1,0,6,2,1.09967086609726,2,0.814678610844567,1
9,2,14,1,2,6,0,4,1,1.37958708655838,1,0.825022900673503,1
9,2,15,1,1,5,1,5,1,1.36959007868477,1,0.509800746338442,1
9,2,16,1,2,5,0,8,2,1.18964393695976,2,0.792279145007342,1
9,2,17,1,2,7,1,7,2,1.23962897632782,2,0.606887051006197,1
9,2,18,1,1,3,1,3,1,1.1396588975917,1,0.629345817676949,1
9,2,19,1,1,3,1,3,2,1.24962598420143,0,NaN,0
9,2,20,1,2,4,1,4,1,1.27961700782226,2,0.587313783253194,0
9,2,21,1,2,2,1,2,1,1.01969480310837,2,0.849218782743264,0
9,2,22,1,2,8,1,8,2,1.25962299207504,2,0.563665008427051,1
9,2,23,1,2,2,0,3,2,1.19964094483337,2,0.718141979319626,1
9,2,24,1,2,5,0,7,2,1.06967984247642,2,0.696523973078001,1
9,2,25,1,1,8,1,8,2,1.11966488184448,2,0.515210807348922,1
9,2,26,1,1,7,1,7,1,1.1396588975917,2,0.647623020016908,0
9,2,27,1,1,6,1,6,1,1.38958409443199,1,0.810237035140744,1
9,2,28,1,1,6,1,6,2,1.32960204719032,2,0.634794082117878,1
9,2,29,1,2,8,1,8,1,1.27961700782226,1,0.597434554540087,1
9,2,30,1,1,2,1,2,2,1.03968881885559,2,0.905882728602592,1
9,2,31,1,1,3,1,3,1,1.33959905506393,1,0.652244493932812,1
9,2,32,1,2,2,1,2,1,1.37958708655838,1,0.648977816068509,1
9,2,33,1,2,8,1,8,1,1.34959606293754,1,0.611452930384985,1
9,2,34,1,2,1,1,1,2,1.33959905506393,1,1.12794554814536,0
9,2,35,1,2,6,1,6,1,1.15965291333893,1,0.676211440557381,1
9,2,36,1,2,1,0,7,1,1.09967086609726,2,0.928978694177204,0
9,2,37,1,2,7,0,5,2,1.38958409443199,1,0.877967999786051,0
9,2,38,1,1,2,1,2,2,1.28961401569588,2,0.696492041857709,1
9,2,39,1,1,7,1,7,2,1.14965590546532,1,0.842669746507454,0
9,2,40,1,2,4,0,3,2,1.38958409443199,0,NaN,0
9,2,41,1,2,2,0,1,1,1.35959307081116,1,0.626230528014275,1
9,2,42,1,1,4,1,4,1,1.18964393695976,1,0.478900733534829,1
9,2,43,1,2,7,1,7,1,1.38958409443199,0,NaN,0
9,2,44,1,1,5,1,5,2,1.00969779523476,2,0.531820458734728,1
9,2,45,1,2,5,1,5,1,1.32960204719032,1,0.482328207897808,1
9,2,46,1,1,4,1,4,1,1.35959307081116,1,0.490791406737117,1
9,2,47,1,1,1,1,1,1,1.3096080314431,1,0.459557826725359,1
9,2,48,1,1,5,1,5,1,1.28961401569588,1,0.461844330169697,1
9,2,49,1,2,6,1,6,2,1.08967385822365,1,0.83416891444358,0
9,2,50,1,2,3,0,5,2,1.24962598420143,1,0.878644257412816,0
9,2,51,1,1,7,1,7,1,1.12966188971809,1,0.709123405329592,1
9,2,52,1,2,6,0,2,2,1.17964692908615,1,0.927753903804842,0
9,2,53,1,2,3,1,3,2,1.36959007868477,1,0.684544918818574,0
9,2,54,1,2,7,1,7,1,1.02969181098198,1,0.510744427931058,1
9,2,55,1,1,4,1,4,1,1.07967685035004,1,0.498975207403419,1
9,2,56,1,1,1,1,1,1,1.33959905506393,1,0.495927771578863,1
9,2,57,1,2,8,1,8,2,1.0496858267292,2,0.620579272246687,1
9,2,58,1,2,4,0,1,1,1.22963196845421,1,0.666767211998376,1
9,2,59,1,2,2,1,2,2,1.03968881885559,1,0.409214551855257,0
9,2,60,1,2,8,1,8,1,1.26961999994865,1,0.616313603357412,1
9,2,61,1,2,4,1,4,2,1.0496858267292,2,0.686412895196554,1
9,2,62,1,2,8,1,8,2,1.10966787397087,2,0.890906131051452,1
9,2,63,1,2,4,1,4,2,1.07967685035004,2,0.817249644267577,1
9,2,64,1,1,6,1,6,1,1.0496858267292,1,0.423773762744531,1
9,2,65,1,2,2,1,2,1,1.29961102356949,1,0.654154950236261,1
9,2,66,1,1,3,1,3,2,1.2196349605806,1,0.928684185691964,0
9,2,67,1,1,7,1,7,2,1.19964094483337,2,0.673277189507644,1
9,2,68,1,1,1,1,1,1,1.00969779523476,1,0.585690993029857,1
9,2,69,1,1,6,1,6,2,1.23962897632782,2,0.796349520274816,1
9,2,70,1,1,2,1,2,1,1.27961700782226,1,0.708846002853534,1
9,2,71,1,2,8,0,4,1,1.01969480310837,1,0.911466700723395,1
9,2,72,1,1,8,0,6,1,1.29961102356949,2,0.84383209994121,0
9,2,73,1,2,6,1,6,2,1.2196349605806,2,0.904484597318515,1
9,2,74,1,1,5,1,5,2,1.3096080314431,2,0.552918727345968,1
9,2,75,1,1,4,1,4,2,1.12966188971809,2,0.597439116143505,1
9,2,76,1,2,5,1,5,1,1.16964992121254,1,0.475888079934521,1
9,2,77,1,2,3,1,3,1,1.3096080314431,1,0.542535093693004,1
9,2,78,1,2,2,1,2,1,1.37958708655838,1,0.513217957090092,1
9,2,79,1,1,3,0,2,2,1.37958708655838,2,0.723395520333725,1
9,2,80,1,1,3,1,3,1,1.26961999994865,1,0.494611749149044,1
9,2,81,2,1,3,1,3,2,1.25962299207504,0,NaN,0
9,2,82,2,2,3,0,6,2,1.3995811023056,0,NaN,0
9,2,83,2,2,1,1,1,1,1.28961401569588,0,NaN,0
9,2,84,2,2,8,1,8,1,1.02969181098198,0,NaN,0
9,2,85,2,1,4,1,4,1,1.02969181098198,0,NaN,0
9,2,86,2,2,6,1,6,2,1.37958708655838,0,NaN,0
9,2,87,2,2,1,0,2,2,1.0496858267292,0,NaN,0
9,2,88,2,2,5,1,5,1,1.14965590546532,0,NaN,0
9,2,89,2,2,1,1,1,1,1.09967086609726,0,NaN,0
9,2,90,2,2,2,1,2,2,1.14965590546532,0,NaN,0
9,2,91,2,2,5,1,5,2,1.16964992121254,0,NaN,0
9,2,92,2,2,2,1,2,1,1.22963196845421,0,NaN,0
9,2,93,2,2,1,1,1,1,1.28961401569588,0,NaN,0
9,2,94,2,2,8,1,8,1,1.29961102356949,0,NaN,0
9,2,95,2,2,7,0,2,2,1.26961999994865,0,NaN,0
9,2,96,2,2,7,1,7,1,1.08967385822365,0,NaN,0
9,2,97,2,1,8,1,8,2,1.11966488184448,0,NaN,0
9,2,98,2,1,1,1,1,1,1.18964393695976,0,NaN,0
9,2,99,2,2,8,1,8,2,1.00969779523476,0,NaN,0
9,2,100,2,2,8,0,1,2,1.03968881885559,0,NaN,0
9,2,101,2,2,3,1,3,1,1.35959307081116,0,NaN,0
9,2,102,2,2,7,1,7,1,1.35959307081116,0,NaN,0
9,2,103,2,1,3,1,3,1,1.32960204719032,0,NaN,0
9,2,104,2,1,8,1,8,2,1.19964094483337,0,NaN,0
9,2,105,2,2,8,0,6,1,1.0496858267292,0,NaN,0
9,2,106,2,2,7,1,7,2,1.18964393695976,0,NaN,0
9,2,107,2,1,6,0,7,2,1.37958708655838,0,NaN,0
